nome,categoria,porcao_g,kcal,prot_g,carb_g,gord_g,contexto_culinario,incompativel_com,velocidade_absorcao,preco
"Óleo, abacate, Persea americana, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, algodão, Gossypium ssp., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, amendoim, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, arroz, Oryza sativa, ",Arroz,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Óleo, babaçu, Orbignia martiana, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, cação, fígado (média de diferentes amostras), ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, canola, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, canola, assado, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, canola, cozido, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, canola, frito, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, cobertura, sardinha enlatada (média de diferentes amostras), ",Peixe,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Óleo, coco, ",Outros Carboidratos,100.0,892,0.0,0.0,99.1,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, composto (85% soja, 15% oliva), ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, gergelim, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, girassol, <i>Helianthus annus</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, girassol, assado, <i>Helianthus annus</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, girassol, cozido, <i>Helianthus annus</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, girassol, frito, <i>Helianthus annus</i> L., ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, linhaça, Linum usitatissimum, ",Outros Carboidratos,100.0,899,0.1,0.0,99.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, milho, assado, Zea mays, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, milho, cozido, Zea mays, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, milho, frito, Zea mays, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, milho, Zea mays, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, soja, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, soja, assado, Glycine max, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, soja, cozido, Glycine max, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Óleo, soja, frito, Glycine max, ",Outros Carboidratos,100.0,900,0.0,0.0,100.0,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Açaí, polpa (média de amostras), <i>Euterpe oleracea</i> Mart., ",Frutas,100.0,68,0.9,7.7,5.0,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
